"Type","O_name","N_name"
"","",""
"HEAD","Electronics",""
"","",""
"SUBHEAD","Air Conditioners",""
"","",""
"KEYWORD","","""LG"" air conditioner, Indian Ads"
"KEYWORD","","""Blue Star"" air conditioners, Indian Ads"
"KEYWORD","","""Voltas"" air conditioners, Indian Ads"
"KEYWORD","","""Daikin"" air conditioners. Indian Ads"
"KEYWORD","","""Hitachi"" air conditioners, Indian Ads"
"KEYWORD","","""Samsung"" air conditioners, Indina Ads"
"","",""
"SUBHEAD","Washing machine",""
"","",""
"KEYWORD","","""Bosch"" washing machine, Indian Ads"
"KEYWORD","","""Haier"" washing machine, Indian Ads"
"KEYWORD","","""LG"" washing machine, Indian Ads"
"KEYWORD","","""Godrej"" washing machine, Indian Ads"
"KEYWORD","","""Panasonic"" washing machine, Indian Ads"
"KEYWORD","","""Croma"", washing machine, Indian Ads"
"KEYWORD","","""Whirlpool"" washing machine, Indian Ads"
"","",""
"SUBHEAD","Refrigerators",""
"","",""
"KEYWORD","","""Lloyd"" refrigerators, Indian Ads"
"KEYWORD","","""Haier"" refrigerators, Indian Ads"
"KEYWORD","","""LG"" refrigerators, Indian Ads"
"KEYWORD","","""Godrej"" refrigerators, Indian Ads"
"KEYWORD","","""Panasonic"" refrigerators, Indian Ads"
"KEYWORD","","""Samsung"", refrigerators, Indian Ads"
"KEYWORD","","""Whirlpool"" refrigerators, Indian Ads"
"","",""
"HEAD","Body Wear",""
"","",""
"SUBHEAD","Jwellary",""
"","",""
"KEYWORD","","""Tanishq"" jewellary, Indian Ads"
"KEYWORD","","""Malabar"" gold and diamond, Indian Ads"
"KEYWORD","","""Kalyan"" jewellers, Indian Ads"
"KEYWORD","","""PC"" jewellers, Indian Ads"
"KEYWORD","","""Joyalukkas"" jewellary, Indian Ads"
"KEYWORD","","""Blue Stone"" jewellary, Indian Ads"
"","",""
"SUBHEAD","Watch",""
"","",""
"KEYWORD","","""Titan"" watches, Indian Ads"
"KEYWORD","","""Rolex"" watches, Indian Ads"
"KEYWORD","","""Casio"" watches, Indian Ads"
"KEYWORD","","""Sonata"" watches, Indian Ads"
"KEYWORD","","""Fastrack"" watches, Indian Ads"
"KEYWORD","","""Tommy Hilfiger"" watches, Indian Ads"
"KEYWORD","","""Citizen"" watches, Indian Ads"
"KEYWORD","","""Emporio Armani"" watches, Indian Ads"
