"Type","O_name","N_name","F"
"HEAD","Drinks","",""
"","","",""
"SUBHEAD","Health Beverages","",""
"","","",""
"KEYWORD","","""Boost"" nutrition drink, Indian Ads",""
"KEYWORD","","""Horlicks"" nutrition drink, Indian Ads",""
"KEYWORD","","Cadbury ""Bournvita"" nutrition drink, Indian Ads",""
"KEYWORD","","""Complan"", Indian Ads",""
"KEYWORD","","Patanjali ""Powervita"", Indian Ads ",""
"KEYWORD","","""PediaSure"", Indian Ads",""
"KEYWORD","","""Ensure"" nutrition drink, Indian Ads",""
"KEYWORD","","""ProtienX"" nutrition drink, Indian Ads",""
"KEYWORD","","""Yakult"" probiotic nutrition drink, Indian Ads",""
"","","",""
"SUBHEAD","Soda","",""
"","","",""
"KEYWORD","0 Maaza Indian Ads.json 1510","""Maaza"", Indian Ads",""
"KEYWORD","1 Indian Soda Ads.json 1210(Redundant)","",""
"KEYWORD","2 7UP Indian Ads.json 1210","""7UP"", Indian Ads",""
"KEYWORD","3 ThumbsUp Indian Ads.json 1210","""ThumbsUp"", Indian Ads",""
"KEYWORD","4 Pepsi Indian Ads.json 1210","""Pepsi"", Indian Ads",""
"KEYWORD","5 Coca Cola Indian Ads.json 1110","""Coca Cola"", Indian Ads",""
"KEYWORD","6 Limca Indian Ads.json 1110","""Limca"", Indian Ads",""
"KEYWORD","7 Mountain Dew Indian Ads.json 1110","""Mountain Dew"", Indian Ads",""
"KEYWORD","8 Fanta Indian Ads.json 1110","""Fanta"", Indian Ads",""
"KEYWORD","9 Mirinda Indian Ads.json 1110","""Mirinda"", Indian Ads",""
"KEYWORD","10 Sprite Indian Ads.json 1110","""Sprite"", Indian Ads",""
"","Keyword Count: 11","",""
"","","",""
"SUBHEAD","Coffee","",""
"","","",""
"KEYWORD","11 Black Baza Coffee Indian Ads.json 1110","""Black Baza Coffee"", Indian Ads",""
"KEYWORD","12 Indian Bean Indian Ads.json 1110","""Indian Bean coffee"", Indian Ads",""
"KEYWORD","13 Blue Tokai Indian Ads.json 1110","""Blue Tokai coffee"", Indian Ads",""
"KEYWORD","14 Indian Coffee Ads.json 1110(Redundant)","",""
"KEYWORD","15 Flying Squirrel Coffee Indian Ads.json 1110","""Flying Squirrel Coffee"", Indian Ads",""
"KEYWORD","16 Indian Coffee House Indian Ads.json 1110","""Indian Coffee House"", Indian Ads",""
"KEYWORD","17 Chai Point Indian Ads.json 1110","""Chai Point"", Indian Ads",""
"KEYWORD","18 Bru Indian Ads.json 1110","""Bru coffee"", Bru Ads",""
"KEYWORD","19 Café Coffee Day Indian Ads.json 1110","""Café Coffee Day"", Indian Ads",""
"KEYWORD","20 Seven Beans Coffee Indian Ads.json 1110","""Seven Beans Coffee"", Indian Ads",""
"KEYWORD","21 Country Bean Indian Ads.json 1110","""Country Bean coffee"", Indian Ads",""
"KEYWORD","22 Barista Lavazza Indian Ads.json 1110","""Barista Lavazza coffee"", Indian Ads",""
"","Keyword Count: 12","",""
"","","",""
"SUBHEAD","Energy Drinks","",""
"","","",""
"KEYWORD","23 Glucon-D Indian Ads.json 1110","""Glucon-D"", Indian Ads",""
"KEYWORD","24 Sting Indian Ads.json 1110","""Sting"", Indian Ads",""
"KEYWORD","25 Red Bull Indian Ads.json 1110","""Red Bull"", Indian Ads",""
"KEYWORD","26 Indian Energy Drinks Ads.json 1110(Redundant)","",""
"KEYWORD","27 Rockstar Energy Drink Indian Ads.json 1110","""Rockstar Energy Drink"", Indian Ads",""
"KEYWORD","28 Enerzal Indian Ads.json 1110","""Enerzal"", Indian Ads",""
"KEYWORD","29 Ocean Energy Drink Indian Ads.json 1110","""Ocean Energy Drink"", Indian Ads",""
"KEYWORD","30 Café Cuba Indian Ads.json 1110","""Café Cuba"", Indian Ads",""
"KEYWORD","31 Gatorade Indian Ads.json 1110","""Gatorade"", Indian Ads",""
"KEYWORD","32 Monster Energy Drink Indian Ads.json 1110","""Monster Energy Drink"", Indian Ads",""
"","Keyword Count: 10","",""
"","","",""
"SUBHEAD","Water","",""
"","","",""
"KEYWORD","33 Rail Neer Indian Ads.json 1110","""Rail Neer"", Indian Ads",""
"KEYWORD","34 Himalayan Mineral Water. Indian Ads.json 1110","""Himalayan Mineral Water"", Indian Ads",""
"KEYWORD","35 Kingfisher Mineral Water Indian Ads.json 1110","""Kingfisher Mineral Water"", Indian Ads",""
"KEYWORD","36 Smartwater Indian Ads.json 1110","""Smartwater"", Indian Ads",""
"KEYWORD","37 Bailey Indian Ads.json 1110","""Bailey"", Indian Ads",""
"KEYWORD","38 Patanjali Divya jal Indian Ads.json 1110","""Patanjali Divya jal"", Indian Ads",""
"KEYWORD","39 Aquafina Indian Ads.json 1110","""Aquafina"", Indian Ads",""
"KEYWORD","40 Indian Water Ads.json 1110 (Redundant)","",""
"KEYWORD","41 Kinley Indian Ads.json 1110","""Kinley"", Indian Ads",""
"KEYWORD","42 Qua Mineral Water Indian Ads.json 1110","""Qua Mineral Water"", Indian Ads",""
"KEYWORD","43 Bisleri Indian Ads.json 1110","""Bisleri"", Indian Ads",""
"","Keyword Count: 11","",""
"","","",""
"SUBHEAD","Juice","",""
"","","",""
"KEYWORD","44 Drunken Monkey Indian Ads.json 1110","""Drunken Monkey"", Indian Ads",""
"KEYWORD","45 The Thickshake Factory Indian Ads.json 1110","""The Thickshake Factory"", Indian Ads",""
"KEYWORD","46 Paper boat Indian Ads.json 1110","""Paper boat"", Indian Ads",""
"KEYWORD","47 Frooti Indian Ads.json 1110","""Frooti"", Indian Ads",""
"KEYWORD","48 Indian Juice Ads.json 1110(Reduntant)","",""
"KEYWORD","49 Mazza Indian Ads.json 1110","""Mazza"", Indian Ads",""
"KEYWORD","50 Slice Indian Ads.json 1110","""Slice"", Indian Ads",""
"KEYWORD","51 Safal Fruit Juice Indian Ads.json 1110","""Safal Fruit Juice"", Indian Ads",""
"KEYWORD","52 Real Fruit Juice Indian Ads.json 1110","""Real Fruit Juice"", Indian Ads",""
"KEYWORD","53 Roohafza Indian Ads.json 1110","""Roohafza"", Indian Ads",""
"KEYWORD","54 Minute Maid Indian Ads.json 1110","""Minute Maid"", Indian Ads",""
"KEYWORD","55 Rasna Indian Ads.json 1110","""Rasna"", Indian Ads",""
"KEYWORD","56 Tropicana Indian Ads.json 1110","""Tropicana"", Indian Ads",""
"","Keyword Count: 13","",""
"","","",""
"SUBHEAD","Alcohol","",""
"","","",""
"KEYWORD","57 McDowell’s No.1 Liquor & Alcohol Indian Ads.json 1110","""McDowell’s"" Liquor & Alcohol, Indian Ads",""
"KEYWORD","58 Kingfisher Indian Ads.json 1110","""Kingfisher""  liquor and alcohol, Indian Ads",""
"KEYWORD","59 Royal Challenge Indian Ads.json 1110","""Royal Challenge"" Liquour and Alcohol, Indian Ads",""
"KEYWORD","60 Heineken Beer Indian Ads.json 1110","""Heineken Beer"", Indian Ads",""
"KEYWORD","61 Carlsberg Indian Ads.json 1110","""Carlsberg"", Indian Ads",""
